RegID,MCN301,ITT301,ITT303,ITT305,ITT307,ITT309,ITL331,ITL333,SGPA
LTRV20IT069,P,C+,D,F,C,C+,A,B,0
LTRV20IT070,P,D,D,P,D,D,B,A+,6.304347826086956
LTRV20IT071,P,P,C+,P,B,C+,B+,C,6.608695652173913
LTRV20IT072,D,F,D,F,C,B,C+,C,0
LTRV20IT073,S,A,B+,D,B+,A+,B+,B+,7.869565217391305
LTRV20IT074,P,D,F,F,Absent,F,A+,A,0
PKD20IT026,F,P,B,F,F,B,B+,A,0
TRV20IT001,B+,F,D,P,D,C+,A,C,0
TRV20IT002,C,A,A+,S,A,B+,S,S,9.043478260869565
TRV20IT003,FE,FE,FE,FE,FE,FE,FE,FE,0
TRV20IT004,D,B+,A+,B,C+,C+,S,S,8.130434782608695
TRV20IT005,B,F,D,D,F,D,A,A,0
TRV20IT006,C,B,A,C,C+,B,B,A+,7.543478260869565
TRV20IT007,B+,P,B,F,P,D,B+,A,0
TRV20IT008,C+,S,A+,B+,B+,A,S,S,8.934782608695652
TRV20IT009,C,F,F,F,Absent,F,C+,D,0
TRV20IT010,C+,C,C+,D,C,C+,B+,B,6.782608695652174
TRV20IT011,C+,A,C+,A,A,C+,S,S,8.304347826086957
TRV20IT012,B+,B+,B,A,C+,B+,S,A+,8.08695652173913
TRV20IT013,A,A,A,A+,A,B+,S,S,8.782608695652174
TRV20IT014,C+,C+,C,B+,C,A,S,A+,7.630434782608695
TRV20IT015,B,B,B,C+,B,B,S,A+,7.760869565217392
TRV20IT016,B+,F,D,D,C,B+,A+,A+,0
TRV20IT017,A,A,A,A,C+,B,A,A+,8.152173913043478
TRV20IT018,A+,A+,B,A,B+,A,D,A+,8.152173913043478
TRV20IT019,A+,A+,B+,S,A,S,S,A,9.08695652173913
TRV20IT020,F,F,F,F,F,F,F,C,0
TRV20IT021,C+,B+,C+,B+,C+,B,C+,A+,7.586956521739131
TRV20IT022,C+,S,A,B+,B+,B+,S,S,8.782608695652174
TRV20IT023,C+,B+,B,B,B,B,S,A+,7.934782608695652
TRV20IT024,C,A,B+,B+,B+,B+,S,A+,8.347826086956522
TRV20IT025,A,B,D,B,C,A,B+,A+,7.369565217391305
TRV20IT026,P,C+,C,B,D,D,A,A+,7.0
TRV20IT027,P,F,F,P,C,D,A,C+,0
TRV20IT028,P,C+,C+,C,C+,D,B,C,6.782608695652174
TRV20IT029,D,B+,S,A,C+,A,S,S,8.673913043478262
TRV20IT030,P,B,B+,C,C,A+,S,S,7.869565217391305
TRV20IT031,P,D,B+,C,B,C+,S,A+,7.434782608695652
TRV20IT032,F,P,P,F,D,P,F,D,0
TRV20IT033,P,C,C+,D,C+,B+,A,B+,7.086956521739131
TRV20IT034,C+,B+,B+,C+,A,A,S,A+,8.23913043478261
TRV20IT035,F,B+,B,B,C+,C,S,S,0
TRV20IT036,P,A,B,C+,B,A,C+,A+,7.804347826086956
TRV20IT037,P,C+,C,D,B,B,S,S,7.413043478260869
TRV20IT038,P,F,F,F,F,C+,F,C+,0
TRV20IT039,P,F,F,F,F,P,F,B+,0
TRV20IT040,P,C,C,C+,C,C,S,S,7.195652173913044
TRV20IT041,P,A,B,C+,C+,C+,S,S,7.869565217391305
TRV20IT043,P,F,D,D,D,D,D,C,0
TRV20IT045,B,B+,B+,B+,B+,B,A,A+,8.065217391304348
TRV20IT046,D,B+,C+,B,B+,C+,B+,B+,7.608695652173913
TRV20IT047,D,P,F,F,F,D,D,C+,0
TRV20IT048,C,D,B+,F,D,D,A+,A+,0
TRV20IT049,C,A,A,C+,A,C+,S,S,8.304347826086957
TRV20IT050,D,B,C,D,A,D,A+,B,7.173913043478261
TRV20IT051,C+,A,B,B+,B,C+,S,S,8.130434782608695
TRV20IT052,F,F,F,F,F,F,F,C,0
TRV20IT053,A+,B,B,C+,C+,C+,B,C,7.173913043478261
TRV20IT054,C,A,A+,S,A,B,S,S,8.978260869565217
TRV20IT056,F,F,F,F,F,F,B+,C,0
TRV20IT057,F,F,F,F,F,Absent,F,D,0
TRV20IT058,C,D,C,P,P,P,A+,C,6.1521739130434785
TRV20IT059,P,C,D,D,D,C,A+,C+,6.5
TRV20IT060,C+,A,A,A+,A+,A+,S,C+,8.73913043478261
TRV20IT061,P,C,D,F,D,D,S,S,0
TRV20IT062,C,C,C,C+,P,C,A+,C,6.630434782608695
TRV20IT064,B,D,C,C+,C,D,D,B+,6.521739130434782
TRV20IT065,A,B,B+,B+,D,C+,B+,C+,7.3478260869565215
TRV20IT066,Absent,F,F,F,Absent,Absent,B,B,0
TRV20IT067,D,F,P,F,Absent,D,B+,B+,0
TRV20IT068,C,C+,F,D,F,C,A,A+,0
